character,TOTAL,Dim1,Dim2
Alemi,7,-0.6991105323893736,-0.13581206397583487
Alessan,13,-0.2104239281277348,-0.6099150026943337
Andemon,1,0.318963243033438,0.5459878548317375
Anella,1,-0.5648225739802171,-0.4912101818632304
A’murry,1,0.2918716462051457,-0.6803394708938427
Bargen,1,-0.13588361930030393,-0.14090605107642803
Bedella,1,0.5120430831654507,-0.4548144630741219
Benelek,2,0.627275535434461,-0.06883591756445634
Berchar,1,-0.1389601970271158,-0.6391647122062102
Berd,1,0.31896324303343787,0.5459878548317373
Brekke,9,0.35489175536459433,0.4925777594291752
Briala,1,-0.6283189751621309,0.11034924075247037
B’lerion,3,-0.5352660597273703,-0.4560705626186462
Camo,4,-0.621255449333689,0.09605622481821907
Canth,3,0.7421100936400488,0.2366474692229988
Capiam,4,-0.1604350675352667,-0.6246203117444515
Corman,2,-0.2898945000337699,0.46283408499584594
Dag,2,-0.2236052728375825,-0.5902429786525604
Deckter,1,-0.2954589917841376,0.2696636351956441
Domick,6,-0.6283189751621308,0.11034924075247042
Dorse,1,0.627275535434461,-0.06883591756445634
Dunca,2,-0.6283189751621303,0.11034924075247037
D’ram,2,0.38148047085526104,0.3389309953159129
Fandarel,3,0.07394905688934122,0.5089815756133651
Fax,6,0.015392952660347098,0.07784175236381334
Fergal,1,-0.13896019702711587,-0.6391647122062102
F’lar,15,0.34406110404971274,0.19167573891304587
F’lessan,7,-0.3775689471076835,0.5895055070285542
F’nor,13,0.20163017189700144,0.2904613793952104
Gemma,1,-0.11545014048257937,0.6607763704141123
Golanth,6,-0.36847317074978597,0.5784811912430704
Grall,1,0.31896324303343815,0.5459878548317377
Groghe,2,0.4535752321446578,0.27517333195564964
G’narish,1,0.31896324303343815,0.5459878548317375
Heth,1,0.5120430831654509,-0.4548144630741218
Holth,1,-0.13896019702711582,-0.6391647122062097
Idarolan,3,-0.7345034439529572,-0.12817456045728803
Jaxom,25,0.5092573743919714,0.015255244308206607
Jerint,1,-0.6283189751621303,0.11034924075247046
Kadith,1,-0.13896019702711587,-0.6391647122062097
Kern,1,0.6272755354344612,-0.06883591756445642
Kylara,8,0.036902791430696344,0.6019891287062418
K’lon,1,0.2918716462051457,-0.6803394708938426
K’van,1,0.512043083165451,-0.4548144630741218
Larad,2,0.42537539019905923,-0.36074450633590727
Leef,1,-0.707229469020059,0.3312883333884758
Leri,2,-0.13896019702711584,-0.6391647122062096
Lessa,9,0.11474439331028138,0.291935724871776
Lidora,1,0.2918716462051459,-0.6803394708938427
L’mal,1,-0.13896019702711587,-0.6391647122062097
Mardra,4,-0.05204717830512445,0.4042463655169461
Mavi,1,0.6807772345690709,-0.36053425965347297
Menolly,23,-0.5435606997665119,0.11318702981059536
Merelan,2,-0.22437891122522413,-0.15282286822915578
Meron,6,0.20020372347642387,0.48963581700464026
Mirrim,2,0.2692404277837487,-0.25066783029553363
Mnementh,3,0.1339958915263364,0.564772984662398
Monarth,1,-0.7345034439529566,-0.12817456045728837
Moreta,18,-0.30182052644097274,-0.5654839446917495
Nadira,1,0.31896324303343815,0.5459878548317375
Nemorth,2,-0.13588361930030393,-0.1409060510764281
Nessel,1,0.6272755354344612,-0.06883591756445638
Nicat,1,0.6272755354344612,-0.06883591756445638
N’ton,2,0.31896324303343815,0.5459878548317375
Oklina,2,-0.5476997231802362,-0.49312684415828784
Oldive,2,-0.4568662362498748,0.48980948965559534
Oncle,2,-0.3338967920711305,-0.36776369084162275
Orlith,7,0.11361228859784286,-0.6633947818057777
Oterel,1,0.31896324303343826,0.5459878548317376
Petiron,9,-0.3962548343061177,-0.05811061038421405
Piemur,20,-0.2724314524324281,0.08723372168101196
Pol,3,-0.7016196212497228,-0.32631068610749553
Pona,1,-0.6283189751621301,0.11034924075247038
Prideth,6,0.39784344777464686,0.49749061618544904
Ramoth,7,0.49797390404229896,0.1129773863490928
Ratoshigan,2,-0.13896019702711587,-0.6391647122062095
Robinton,34,0.012035923742619945,-0.07992313875039429
Ruth,20,0.5972072076278,-0.06248048194173735
Sallah,3,-0.7016196212497193,-0.3263106861074989
Sangel,1,0.6272755354344612,-0.06883591756445638
Sebell,17,-0.3514416170513941,0.25106547480976005
Sharra,8,0.3987020331404113,-0.23011807837358442
Shonagar,2,-0.5025347389907318,0.15569999496737535
Sh’gall,4,0.026929130253140556,-0.6585018127871068
Sigomal,1,-0.5979084514503589,0.5240814254900377
Silvina,5,-0.37539594243644764,0.10081893553454041
Sograny,1,0.3189632430334384,0.5459878548317375
Stupide,2,0.022937081351036972,-0.18123418214902917
Suriana,8,-0.47994569597377373,-0.5270456887488063
S’gor,1,-0.13896019702711587,-0.6391647122062095
Tagetarl,1,-0.39142399495435776,0.6051773202323085
Talmor,1,-0.6283189751621302,0.1103492407524704
Talpan,1,0.29187164620514544,-0.6803394708938426
Terry,1,0.3189632430334386,0.5459878548317374
Tirone,2,-0.13896019702711587,-0.6391647122062095
Toric,9,0.4712727380835331,-0.4193462482564995
T’bor,1,0.31896324303343865,0.5459878548317374
T’kul,2,0.44593492284015424,-0.05172129904179989
T’reb,1,0.7012114647243763,0.3279873401143515
T’ton,1,-0.2993540452686172,0.7389435089254875
Vincet,1,0.5120430831654509,-0.4548144630741212
Wansor,2,0.1552380714935846,0.610311105760055
Warbret,1,-0.59870262776382,0.522972191027527
Wirenth,2,0.4248630806987158,0.4972487378721733
Zair,1,0.8023827856994863,0.10130235836567272
Zurg,1,-0.11545014048257965,0.6607763704141123
